"","from","to","presc","value"
"1","Hispanic or Latino","Non-Hispanic Asian",0.938482338919243,0.938482338919243
"2","Hispanic or Latino","Non-Hispanic Black",0.971917193382395,0.971917193382395
"3","Hispanic or Latino","Non-Hispanic Other/Multiple Races",0.947001087027135,0.947001087027135
"4","Hispanic or Latino","Non-Hispanic White",0.889562966724709,0.889562966724709
"5","Non-Hispanic Asian","Non-Hispanic Black",0.966565145536848,0.966565145536848
"6","Non-Hispanic Asian","Non-Hispanic Other/Multiple Races",0.885483425946379,0.885483425946379
"7","Non-Hispanic Asian","Non-Hispanic White",0.828045305643952,0.828045305643952
"8","Non-Hispanic Black","Non-Hispanic Other/Multiple Races",0.91891828040953,0.91891828040953
"9","Non-Hispanic Black","Non-Hispanic White",0.861480160107104,0.861480160107104
"10","Non-Hispanic Other/Multiple Races","Non-Hispanic White",0.942561879697573,0.942561879697573
