"","from","to","anx","value"
"1","Hispanic or Latino","Non-Hispanic Asian",0.897406519193566,0.897406519193566
"2","Hispanic or Latino","Non-Hispanic Black",0.930822668535255,0.930822668535255
"3","Hispanic or Latino","Non-Hispanic Other/Multiple Races",0.979380530020396,0.979380530020396
"4","Hispanic or Latino","Non-Hispanic White",0.971070717770355,0.971070717770355
"5","Non-Hispanic Asian","Non-Hispanic Black",0.96658385065831,0.96658385065831
"6","Non-Hispanic Asian","Non-Hispanic Other/Multiple Races",0.876787049213962,0.876787049213962
"7","Non-Hispanic Asian","Non-Hispanic White",0.868477236963921,0.868477236963921
"8","Non-Hispanic Black","Non-Hispanic Other/Multiple Races",0.910203198555651,0.910203198555651
"9","Non-Hispanic Black","Non-Hispanic White",0.901893386305611,0.901893386305611
"10","Non-Hispanic Other/Multiple Races","Non-Hispanic White",0.991690187749959,0.991690187749959
