"","from","to","gathering_bans_overLap","width","title"
"1","AK","AL",24,0.24,"24 days shared in 2020"
"2","AK","AR",237,2.37,"237 days shared in 2020"
"3","AK","AZ",237,2.37,"237 days shared in 2020"
"4","AK","CA",189,1.89,"189 days shared in 2020"
"5","AK","CO",40,0.4,"40 days shared in 2020"
"6","AK","CT",1,0.01,"1 days shared in 2020"
"7","AK","DE",166,1.66,"166 days shared in 2020"
"8","AK","FL",223,2.23,"223 days shared in 2020"
"9","AK","GA",13,0.13,"13 days shared in 2020"
"10","AK","HI",13,0.13,"13 days shared in 2020"
"11","AK","IA",150,1.5,"150 days shared in 2020"
"12","AK","ID",208,2.08,"208 days shared in 2020"
"13","AK","IL",2,0.02,"2 days shared in 2020"
"14","AK","IN",59,0.59,"59 days shared in 2020"
"15","AK","KS",226,2.26,"226 days shared in 2020"
"16","AK","KY",86,0.86,"86 days shared in 2020"
"17","AK","LA",37,0.37,"37 days shared in 2020"
"18","AK","MA",2,0.02,"2 days shared in 2020"
"19","AK","MD",207,2.07,"207 days shared in 2020"
"20","AK","ME",7,0.07,"7 days shared in 2020"
"21","AK","MI",63,0.63,"63 days shared in 2020"
"22","AK","MN",13,0.13,"13 days shared in 2020"
"23","AK","MO",236,2.36,"236 days shared in 2020"
"24","AK","MS",13,0.13,"13 days shared in 2020"
"25","AK","MT",225,2.25,"225 days shared in 2020"
"26","AK","NC",3,0.03,"3 days shared in 2020"
"27","AK","ND",237,2.37,"237 days shared in 2020"
"28","AK","NE",58,0.58,"58 days shared in 2020"
"29","AK","NH",211,2.11,"211 days shared in 2020"
"30","AK","NJ",5,0.05,"5 days shared in 2020"
"31","AK","NM",5,0.05,"5 days shared in 2020"
"32","AK","NV",52,0.52,"52 days shared in 2020"
"33","AK","NY",60,0.6,"60 days shared in 2020"
"34","AK","OH",1,0.01,"1 days shared in 2020"
"35","AK","OK",237,2.37,"237 days shared in 2020"
"36","AK","OR",60,0.6,"60 days shared in 2020"
"37","AK","PA",56,0.56,"56 days shared in 2020"
"38","AK","RI",11,0.11,"11 days shared in 2020"
