"","id","label","color"
"1","AK","AK","#7F007F"
"2","AL","AL","#BF003F"
"3","AR","AR","#7F007F"
"4","AZ","AZ","#7F007F"
"5","CA","CA","#7F007F"
"6","CO","CO","#7F007F"
"7","CT","CT","#3F00BF"
"8","DE","DE","#7F007F"
"9","FL","FL","#7F007F"
"10","GA","GA","#7F007F"
"11","HI","HI","#0000FF"
"12","IA","IA","#BF003F"
"13","ID","ID","#BF003F"
"14","IL","IL","#7F007F"
"15","IN","IN","#7F007F"
"16","KS","KS","#7F007F"
"17","KY","KY","#7F007F"
"18","LA","LA","#7F007F"
"19","MA","MA","#3F00BF"
"20","MD","MD","#3F00BF"
"21","ME","ME","#0000FF"
"22","MI","MI","#7F007F"
"23","MN","MN","#7F007F"
"24","MO","MO","#7F007F"
"25","MS","MS","#7F007F"
"26","MT","MT","#7F007F"
"27","NC","NC","#3F00BF"
"28","ND","ND","#FF0000"
"29","NE","NE","#BF003F"
"30","NH","NH","#0000FF"
"31","NJ","NJ","#7F007F"
"32","NM","NM","#7F007F"
"33","NV","NV","#7F007F"
"34","NY","NY","#0000FF"
"35","OH","OH","#7F007F"
"36","OK","OK","#BF003F"
"37","OR","OR","#0000FF"
"38","PA","PA","#3F00BF"
"39","RI","RI","#BF003F"
"40","SC","SC","#7F007F"
"41","SD","SD","#FF0000"
"42","TN","TN","#BF003F"
"43","TX","TX","#7F007F"
"44","UT","UT","#BF003F"
"45","VA","VA","#3F00BF"
"46","VT","VT","#0000FF"
"47","WA","WA","#0000FF"
"48","WI","WI","#BF003F"
"49","WV","WV","#3F00BF"
"50","WY","WY","#7F007F"
