"","from","to","bars_overLap","width","title"
"1","AK","AL",67,0.67,"67 days shared in 2020"
"2","AK","AR",55,0.55,"55 days shared in 2020"
"3","AK","AZ",55,0.55,"55 days shared in 2020"
"4","AK","CA",56,0.56,"56 days shared in 2020"
"5","AK","CO",56,0.56,"56 days shared in 2020"
"6","AK","CT",1,0.01,"1 days shared in 2020"
"7","AK","DE",55,0.55,"55 days shared in 2020"
"8","AK","FL",152,1.52,"152 days shared in 2020"
"9","AK","GA",3,0.03,"3 days shared in 2020"
"10","AK","HI",2,0.02,"2 days shared in 2020"
"11","AK","IA",56,0.56,"56 days shared in 2020"
"12","AK","ID",3,0.03,"3 days shared in 2020"
"13","AK","IL",55,0.55,"55 days shared in 2020"
"14","AK","IN",55,0.55,"55 days shared in 2020"
"15","AK","KS",264,2.64,"264 days shared in 2020"
"16","AK","KY",55,0.55,"55 days shared in 2020"
"17","AK","LA",2,0.02,"2 days shared in 2020"
"18","AK","MA",3,0.03,"3 days shared in 2020"
"19","AK","MD",55,0.55,"55 days shared in 2020"
"20","AK","ME",57,0.57,"57 days shared in 2020"
"21","AK","MI",58,0.58,"58 days shared in 2020"
"22","AK","MN",2,0.02,"2 days shared in 2020"
"23","AK","MO",255,2.55,"255 days shared in 2020"
"24","AK","MS",44,0.44,"44 days shared in 2020"
"25","AK","MT",59,0.59,"59 days shared in 2020"
"26","AK","NC",2,0.02,"2 days shared in 2020"
"27","AK","ND",234,2.34,"234 days shared in 2020"
"28","AK","NE",88,0.88,"88 days shared in 2020"
"29","AK","NH",55,0.55,"55 days shared in 2020"
"30","AK","NJ",54,0.54,"54 days shared in 2020"
"31","AK","NM",54,0.54,"54 days shared in 2020"
"32","AK","NV",5,0.05,"5 days shared in 2020"
"33","AK","NY",55,0.55,"55 days shared in 2020"
"34","AK","OH",61,0.61,"61 days shared in 2020"
"35","AK","OK",57,0.57,"57 days shared in 2020"
"36","AK","OR",63,0.63,"63 days shared in 2020"
"37","AK","PA",56,0.56,"56 days shared in 2020"
"38","AK","RI",65,0.65,"65 days shared in 2020"
"39","AK","SC",61,0.61,"61 days shared in 2020"
"40","AK","SD",227,2.27,"227 days shared in 2020"
"41","AK","TN",54,0.54,"54 days shared in 2020"
"42","AK","TX",55,0.55,"55 days shared in 2020"
"43","AK","UT",58,0.58,"58 days shared in 2020"
"44","AK","VA",58,0.58,"58 days shared in 2020"
"45","AK","VT",55,0.55,"55 days shared in 2020"
"46","AK","WA",1,0.01,"1 days shared in 2020"
"47","AK","WI",277,2.77,"277 days shared in 2020"
"48","AK","WV",9,0.09,"9 days shared in 2020"
"49","AK","WY",63,0.63,"63 days shared in 2020"
"50","AL","AR",276,2.76,"276 days shared in 2020"
"51","AL","AZ",56,0.56,"56 days shared in 2020"
"52","AL","CA",88,0.88,"88 days shared in 2020"
"53","AL","CO",68,0.68,"68 days shared in 2020"
"54","AL","CT",1,0.01,"1 days shared in 2020"
"55","AL","DE",278,2.78,"278 days shared in 2020"
"56","AL","FL",86,0.86,"86 days shared in 2020"
"57","AL","GA",218,2.18,"218 days shared in 2020"
"58","AL","HI",201,2.01,"201 days shared in 2020"
"59","AL","IA",273,2.73,"273 days shared in 2020"
"60","AL","ID",220,2.2,"220 days shared in 2020"
"61","AL","IL",271,2.71,"271 days shared in 2020"
"62","AL","IN",257,2.57,"257 days shared in 2020"
"63","AL","KS",44,0.44,"44 days shared in 2020"
"64","AL","KY",226,2.26,"226 days shared in 2020"
