"","state_one","state_two","gathering_bans_overLap"
"1","AK","AL",24
"2","AK","AR",237
"3","AK","AZ",237
"4","AK","CA",189
"5","AK","CO",40
"6","AK","CT",1
"7","AK","DE",166
"8","AK","FL",223
"9","AK","GA",13
"10","AK","HI",13
"11","AK","IA",150
"12","AK","ID",208
"13","AK","IL",2
"14","AK","IN",59
"15","AK","KS",226
"16","AK","KY",86
"17","AK","LA",37
"18","AK","MA",2
"19","AK","MD",207
"20","AK","ME",7
"21","AK","MI",63
"22","AK","MN",13
"23","AK","MO",236
"24","AK","MS",13
"25","AK","MT",225
"26","AK","NC",3
"27","AK","ND",237
"28","AK","NE",58
"29","AK","NH",211
"30","AK","NJ",5
"31","AK","NM",5
"32","AK","NV",52
"33","AK","NY",60
"34","AK","OH",1
"35","AK","OK",237
"36","AK","OR",60
"37","AK","PA",56
"38","AK","RI",11
"39","AK","SC",86
"40","AK","SD",237
"41","AK","TN",224
"42","AK","TX",54
"43","AK","UT",111
"44","AK","VA",4
"45","AK","VT",18
"46","AK","WA",61
"47","AK","WI",270
"48","AK","WV",13
"49","AK","WY",9
"50","AL","AR",59
"51","AL","AZ",17
"52","AL","CA",65
"53","AL","CO",44
"54","AL","CT",101
"55","AL","DE",83
"56","AL","FL",24
"57","AL","GA",57
"58","AL","HI",80
"59","AL","IA",56
"60","AL","ID",80
"61","AL","IL",88
"62","AL","IN",257
"63","AL","KS",50
"64","AL","KY",19
"65","AL","LA",46
"66","AL","MA",189
"67","AL","MD",46
"68","AL","ME",51
"69","AL","MI",163
"70","AL","MN",59
"71","AL","MO",49
"72","AL","MS",110
"73","AL","MT",13
"74","AL","NC",45
"75","AL","ND",17
"76","AL","NE",57
"77","AL","NH",56
"78","AL","NJ",273
"79","AL","NM",49
"80","AL","NV",110
"81","AL","NY",12
"82","AL","OH",45
"83","AL","OK",40
"84","AL","OR",207
"85","AL","PA",20
"86","AL","RI",98
"87","AL","SC",17
"88","AL","SD",17
"89","AL","TN",56
"90","AL","TX",17
"91","AL","UT",6
"92","AL","VA",48
"93","AL","VT",110
"94","AL","WA",59
"95","AL","WI",8
"96","AL","WV",50
"97","AL","WY",53
"98","AR","AZ",243
"99","AR","CA",195
"100","AR","CO",29
"101","AR","CT",54
"102","AR","DE",212
"103","AR","FL",239
"104","AR","GA",66
"105","AR","HI",67
"106","AR","IA",198
"107","AR","ID",176
"108","AR","IL",55
