"","from","to","hc","value"
"1","Hispanic or Latino","Non-Hispanic Asian",0.896309339980147,0.896309339980147
"2","Hispanic or Latino","Non-Hispanic Black",0.994676272846366,0.994676272846366
"3","Hispanic or Latino","Non-Hispanic Other/Multiple Races",0.89914236372991,0.89914236372991
"4","Hispanic or Latino","Non-Hispanic White",0.878361085726557,0.878361085726557
"5","Non-Hispanic Asian","Non-Hispanic Black",0.901633067133781,0.901633067133781
"6","Non-Hispanic Asian","Non-Hispanic Other/Multiple Races",0.997166976250237,0.997166976250237
"7","Non-Hispanic Asian","Non-Hispanic White",0.98205174574641,0.98205174574641
"8","Non-Hispanic Black","Non-Hispanic Other/Multiple Races",0.904466090883544,0.904466090883544
"9","Non-Hispanic Black","Non-Hispanic White",0.883684812880192,0.883684812880192
"10","Non-Hispanic Other/Multiple Races","Non-Hispanic White",0.979218721996647,0.979218721996647
