"","from","to","mask_mandates_overLap","width","title"
"1","AK","AL",97,0.97,"97 days shared in 2020"
"2","AK","AR",101,1.01,"101 days shared in 2020"
"3","AK","AZ",266,2.66,"266 days shared in 2020"
"4","AK","CA",69,0.69,"69 days shared in 2020"
"5","AK","CO",97,0.97,"97 days shared in 2020"
"6","AK","CT",10,0.1,"10 days shared in 2020"
"7","AK","DE",18,0.18,"18 days shared in 2020"
"8","AK","FL",266,2.66,"266 days shared in 2020"
"9","AK","GA",266,2.66,"266 days shared in 2020"
"10","AK","HI",7,0.07,"7 days shared in 2020"
"11","AK","IA",221,2.21,"221 days shared in 2020"
"12","AK","ID",266,2.66,"266 days shared in 2020"
"13","AK","IL",21,0.21,"21 days shared in 2020"
"14","AK","IN",108,1.08,"108 days shared in 2020"
"15","AK","KS",84,0.84,"84 days shared in 2020"
"16","AK","KY",91,0.91,"91 days shared in 2020"
"17","AK","LA",94,0.94,"94 days shared in 2020"
"18","AK","MA",26,0.26,"26 days shared in 2020"
"19","AK","MD",8,0.08,"8 days shared in 2020"
"20","AK","ME",21,0.21,"21 days shared in 2020"
"21","AK","MI",19,0.19,"19 days shared in 2020"
"22","AK","MN",105,1.05,"105 days shared in 2020"
"23","AK","MO",266,2.66,"266 days shared in 2020"
"24","AK","MS",180,1.8,"180 days shared in 2020"
"25","AK","MT",96,0.96,"96 days shared in 2020"
"26","AK","NC",77,0.77,"77 days shared in 2020"
"27","AK","ND",218,2.18,"218 days shared in 2020"
"28","AK","NE",266,2.66,"266 days shared in 2020"
"29","AK","NH",224,2.24,"224 days shared in 2020"
"30","AK","NJ",0,0,"0 days shared in 2020"
"31","AK","NM",35,0.35,"35 days shared in 2020"
"32","AK","NV",75,0.75,"75 days shared in 2020"
"33","AK","NY",7,0.07,"7 days shared in 2020"
"34","AK","OH",104,1.04,"104 days shared in 2020"
"35","AK","OK",266,2.66,"266 days shared in 2020"
"36","AK","OR",82,0.82,"82 days shared in 2020"
"37","AK","PA",9,0.09,"9 days shared in 2020"
"38","AK","RI",28,0.28,"28 days shared in 2020"
"39","AK","SC",266,2.66,"266 days shared in 2020"
"40","AK","SD",266,2.66,"266 days shared in 2020"
"41","AK","TN",266,2.66,"266 days shared in 2020"
"42","AK","TX",84,0.84,"84 days shared in 2020"
