"","from","to","mhs","value"
"1","Hispanic or Latino","Non-Hispanic Asian",0.957902318770987,0.957902318770987
"2","Hispanic or Latino","Non-Hispanic Black",0.997896378912439,0.997896378912439
"3","Hispanic or Latino","Non-Hispanic Other/Multiple Races",0.959226234005085,0.959226234005085
"4","Hispanic or Latino","Non-Hispanic White",0.943250475763833,0.943250475763833
"5","Non-Hispanic Asian","Non-Hispanic Black",0.955798697683426,0.955798697683426
"6","Non-Hispanic Asian","Non-Hispanic Other/Multiple Races",0.917128552776072,0.917128552776072
"7","Non-Hispanic Asian","Non-Hispanic White",0.90115279453482,0.90115279453482
"8","Non-Hispanic Black","Non-Hispanic Other/Multiple Races",0.961329855092647,0.961329855092647
"9","Non-Hispanic Black","Non-Hispanic White",0.945354096851394,0.945354096851394
"10","Non-Hispanic Other/Multiple Races","Non-Hispanic White",0.984024241758748,0.984024241758748
