"","from","to","restaurants_overLap","width","title"
"1","AK","AL",50,0.5,"50 days shared in 2020"
"2","AK","AR",49,0.49,"49 days shared in 2020"
"3","AK","AZ",49,0.49,"49 days shared in 2020"
"4","AK","CA",41,0.41,"41 days shared in 2020"
"5","AK","CO",39,0.39,"39 days shared in 2020"
"6","AK","CT",40,0.4,"40 days shared in 2020"
"7","AK","DE",38,0.38,"38 days shared in 2020"
"8","AK","FL",153,1.53,"153 days shared in 2020"
"9","AK","GA",49,0.49,"49 days shared in 2020"
"10","AK","HI",39,0.39,"39 days shared in 2020"
"11","AK","IA",60,0.6,"60 days shared in 2020"
"12","AK","ID",39,0.39,"39 days shared in 2020"
"13","AK","IL",38,0.38,"38 days shared in 2020"
"14","AK","IN",49,0.49,"49 days shared in 2020"
"15","AK","KS",265,2.65,"265 days shared in 2020"
"16","AK","KY",38,0.38,"38 days shared in 2020"
"17","AK","LA",46,0.46,"46 days shared in 2020"
"18","AK","MA",34,0.34,"34 days shared in 2020"
"19","AK","MD",38,0.38,"38 days shared in 2020"
"20","AK","ME",44,0.44,"44 days shared in 2020"
"21","AK","MI",41,0.41,"41 days shared in 2020"
"22","AK","MN",39,0.39,"39 days shared in 2020"
"23","AK","MO",252,2.52,"252 days shared in 2020"
"24","AK","MS",42,0.42,"42 days shared in 2020"
"25","AK","MT",56,0.56,"56 days shared in 2020"
"26","AK","NC",39,0.39,"39 days shared in 2020"
"27","AK","ND",237,2.37,"237 days shared in 2020"
"28","AK","NE",89,0.89,"89 days shared in 2020"
"29","AK","NH",42,0.42,"42 days shared in 2020"
"30","AK","NJ",37,0.37,"37 days shared in 2020"
"31","AK","NM",37,0.37,"37 days shared in 2020"
"32","AK","NV",51,0.51,"51 days shared in 2020"
"33","AK","NY",38,0.38,"38 days shared in 2020"
"34","AK","OH",44,0.44,"44 days shared in 2020"
"35","AK","OK",54,0.54,"54 days shared in 2020"
"36","AK","OR",46,0.46,"46 days shared in 2020"
"37","AK","PA",39,0.39,"39 days shared in 2020"
"38","AK","RI",52,0.52,"52 days shared in 2020"
"39","AK","SC",58,0.58,"58 days shared in 2020"
"40","AK","SD",231,2.31,"231 days shared in 2020"
"41","AK","TN",259,2.59,"259 days shared in 2020"
"42","AK","TX",59,0.59,"59 days shared in 2020"
"43","AK","UT",61,0.61,"61 days shared in 2020"
"44","AK","VA",39,0.39,"39 days shared in 2020"
"45","AK","VT",38,0.38,"38 days shared in 2020"
"46","AK","WA",38,0.38,"38 days shared in 2020"
"47","AK","WI",262,2.62,"262 days shared in 2020"
"48","AK","WV",58,0.58,"58 days shared in 2020"
"49","AK","WY",46,0.46,"46 days shared in 2020"
"50","AL","AR",291,2.91,"291 days shared in 2020"
"51","AL","AZ",291,2.91,"291 days shared in 2020"
"52","AL","CA",261,2.61,"261 days shared in 2020"
"53","AL","CO",274,2.74,"274 days shared in 2020"
"54","AL","CT",280,2.8,"280 days shared in 2020"
"55","AL","DE",278,2.78,"278 days shared in 2020"
"56","AL","FL",184,1.84,"184 days shared in 2020"
"57","AL","GA",263,2.63,"263 days shared in 2020"
"58","AL","HI",269,2.69,"269 days shared in 2020"
"59","AL","IA",280,2.8,"280 days shared in 2020"
"60","AL","ID",281,2.81,"281 days shared in 2020"
"61","AL","IL",271,2.71,"271 days shared in 2020"
"62","AL","IN",289,2.89,"289 days shared in 2020"
"63","AL","KS",52,0.52,"52 days shared in 2020"
"64","AL","KY",278,2.78,"278 days shared in 2020"
"65","AL","LA",286,2.86,"286 days shared in 2020"
"66","AL","MA",259,2.59,"259 days shared in 2020"
"67","AL","MD",266,2.66,"266 days shared in 2020"
"68","AL","ME",284,2.84,"284 days shared in 2020"
"69","AL","MI",258,2.58,"258 days shared in 2020"
"70","AL","MN",233,2.33,"233 days shared in 2020"
"71","AL","MO",82,0.82,"82 days shared in 2020"
"72","AL","MS",276,2.76,"276 days shared in 2020"
"73","AL","MT",284,2.84,"284 days shared in 2020"
"74","AL","NC",279,2.79,"279 days shared in 2020"
"75","AL","ND",103,1.03,"103 days shared in 2020"
"76","AL","NE",227,2.27,"227 days shared in 2020"
"77","AL","NH",282,2.82,"282 days shared in 2020"
"78","AL","NJ",255,2.55,"255 days shared in 2020"
"79","AL","NM",257,2.57,"257 days shared in 2020"
