"","from","to","stay_at_home_orders_overLap","width","title"
"1","AK","AL",33,0.33,"33 days shared in 2020"
"2","AK","AR",265,2.65,"265 days shared in 2020"
"3","AK","AZ",267,2.67,"267 days shared in 2020"
"4","AK","CA",35,0.35,"35 days shared in 2020"
"5","AK","CO",38,0.38,"38 days shared in 2020"
"6","AK","CT",265,2.65,"265 days shared in 2020"
"7","AK","DE",137,1.37,"137 days shared in 2020"
"8","AK","FL",129,1.29,"129 days shared in 2020"
"9","AK","GA",30,0.3,"30 days shared in 2020"
"10","AK","HI",37,0.37,"37 days shared in 2020"
"11","AK","IA",16,0.16,"16 days shared in 2020"
"12","AK","ID",193,1.93,"193 days shared in 2020"
"13","AK","IL",33,0.33,"33 days shared in 2020"
"14","AK","IN",36,0.36,"36 days shared in 2020"
"15","AK","KS",258,2.58,"258 days shared in 2020"
"16","AK","KY",10,0.1,"10 days shared in 2020"
"17","AK","LA",35,0.35,"35 days shared in 2020"
"18","AK","MA",65,0.65,"65 days shared in 2020"
"19","AK","MD",271,2.71,"271 days shared in 2020"
"20","AK","ME",35,0.35,"35 days shared in 2020"
"21","AK","MI",250,2.5,"250 days shared in 2020"
"22","AK","MN",39,0.39,"39 days shared in 2020"
"23","AK","MO",230,2.3,"230 days shared in 2020"
"24","AK","MS",127,1.27,"127 days shared in 2020"
"25","AK","MT",82,0.82,"82 days shared in 2020"
"26","AK","NC",38,0.38,"38 days shared in 2020"
"27","AK","ND",265,2.65,"265 days shared in 2020"
"28","AK","NE",265,2.65,"265 days shared in 2020"
"29","AK","NH",39,0.39,"39 days shared in 2020"
"30","AK","NJ",239,2.39,"239 days shared in 2020"
"31","AK","NM",1,0.01,"1 days shared in 2020"
"32","AK","NV",37,0.37,"37 days shared in 2020"
"33","AK","NY",7,0.07,"7 days shared in 2020"
"34","AK","OH",35,0.35,"35 days shared in 2020"
"35","AK","OK",69,0.69,"69 days shared in 2020"
"36","AK","OR",64,0.64,"64 days shared in 2020"
"37","AK","PA",228,2.28,"228 days shared in 2020"
"38","AK","RI",40,0.4,"40 days shared in 2020"
"39","AK","SC",182,1.82,"182 days shared in 2020"
