"","state_one","state_two","stay_at_home_orders_overLap"
"1","AK","AL",33
"2","AK","AR",265
"3","AK","AZ",267
"4","AK","CA",35
"5","AK","CO",38
"6","AK","CT",265
"7","AK","DE",137
"8","AK","FL",129
"9","AK","GA",30
"10","AK","HI",37
"11","AK","IA",16
"12","AK","ID",193
"13","AK","IL",33
"14","AK","IN",36
"15","AK","KS",258
"16","AK","KY",10
"17","AK","LA",35
"18","AK","MA",65
"19","AK","MD",271
"20","AK","ME",35
"21","AK","MI",250
"22","AK","MN",39
"23","AK","MO",230
"24","AK","MS",127
"25","AK","MT",82
"26","AK","NC",38
"27","AK","ND",265
"28","AK","NE",265
"29","AK","NH",39
"30","AK","NJ",239
"31","AK","NM",1
"32","AK","NV",37
"33","AK","NY",7
"34","AK","OH",35
"35","AK","OK",69
"36","AK","OR",64
"37","AK","PA",228
"38","AK","RI",40
"39","AK","SC",182
"40","AK","SD",222
"41","AK","TN",128
"42","AK","TX",13
"43","AK","UT",257
"44","AK","VA",269
"45","AK","VT",36
"46","AK","WA",35
"47","AK","WI",218
"48","AK","WV",36
"49","AK","WY",265
"50","AL","AR",20
"51","AL","AZ",47
"52","AL","CA",230
"53","AL","CO",280
"54","AL","CT",20
"55","AL","DE",158
"56","AL","FL",180
"57","AL","GA",32
"58","AL","HI",250
"59","AL","IA",266
"60","AL","ID",125
"61","AL","IL",249
"62","AL","IN",277
"63","AL","KS",63
"64","AL","KY",256
"65","AL","LA",265
"66","AL","MA",199
"67","AL","MD",41
"68","AL","ME",272
"69","AL","MI",35
"70","AL","MN",267
"71","AL","MO",87
"72","AL","MS",195
"73","AL","MT",239
"74","AL","NC",265
"75","AL","ND",20
"76","AL","NE",20
"77","AL","NH",266
"78","AL","NJ",32
"79","AL","NM",247
"80","AL","NV",279
"81","AL","NY",7
"82","AL","OH",265
"83","AL","OK",165
"84","AL","OR",236
"85","AL","PA",82
"86","AL","RI",276
"87","AL","SC",133
"88","AL","SD",40
"89","AL","TN",192
"90","AL","TX",264
"91","AL","UT",13
"92","AL","VA",41
"93","AL","VT",266
"94","AL","WA",257
"95","AL","WI",88
"96","AL","WV",277
"97","AL","WY",20
"98","AR","AZ",246
"99","AR","CA",8
"100","AR","CO",11
"101","AR","CT",292
"102","AR","DE",110
"103","AR","FL",108
"104","AR","GA",9
"105","AR","HI",10
"106","AR","IA",43
"107","AR","ID",166
"108","AR","IL",6
"109","AR","IN",9
"110","AR","KS",235
"111","AR","KY",10
"112","AR","LA",8
"113","AR","MA",65
"114","AR","MD",248
"115","AR","ME",18
"116","AR","MI",223
"117","AR","MN",12
"118","AR","MO",221
"119","AR","MS",112
"120","AR","MT",55
"121","AR","NC",15
"122","AR","ND",292
"123","AR","NE",292
"124","AR","NH",12
"125","AR","NJ",212
"126","AR","NM",1
"127","AR","NV",16
"128","AR","NY",7
"129","AR","OH",8
"130","AR","OK",69
"131","AR","OR",37
"132","AR","PA",209
"133","AR","RI",13
"134","AR","SC",175
"135","AR","SD",222
"136","AR","TN",109
